mountain,course,from,to,minutes,source
"傾山","九折登山口 傾山ルート","九折登山口 傾山","傾山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"大崩山","祝子川 大崩山登山口ルート","祝子川 大崩山登山口","大崩山","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
"国見岳","国見岳新登山口（五勇谷橋ルート）ルート","国見岳新登山口（五勇谷橋ルート）","国見岳","190","推定CT（固定座標・標高差＋確認済みCT回帰）"
"市房山","市房山キャンプ場（市房山登山口アクセス起点）ルート","市房山キャンプ場（市房山登山口アクセス起点）","市房山","250","推定CT（固定座標・標高差＋確認済みCT回帰）"
"尾鈴山","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）ルート","尾鈴山第1駐車場（尾鈴山登山口アクセス起点）","尾鈴山","260","推定CT（固定座標・標高差＋確認済みCT回帰）"
"霧島山（韓国岳）","大浪池登山口ルート","大浪池登山口","霧島山（韓国岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"桜島（御岳）","湯之平展望所（一般立入可能な最高地点・山頂入山不可）ルート","湯之平展望所（一般立入可能な最高地点・山頂入山不可）","桜島（御岳・北岳）","180","推定CT（固定座標・標高差＋確認済みCT回帰）"
"高隈山","大箆柄岳 垂桜コース駐車場・登山口ルート","大箆柄岳 垂桜コース駐車場・登山口","高隈山（大箆柄岳）","160","推定CT（固定座標・標高差＋確認済みCT回帰）"
"開聞岳","かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセスルート","かいもん山麓ふれあい公園駐車場・開聞岳登山口アクセス","開聞岳","170","推定CT（固定座標・標高差＋確認済みCT回帰）"
"宮ノ浦岳","淀川登山口ルート","淀川登山口","宮ノ浦岳","230","推定CT（固定座標・標高差＋確認済みCT回帰）"
